material_type,strength,weight_capacity_kg,cost_per_unit,biodegradability_score,co2_emission_score,recyclability_percent
Corrugated Cardboard,High,25,18,8,4,85
Recycled Cardboard,High,28,17,9,3,90
Paperboard,Medium,15,12,9,3,80
Kraft Paper,Medium,12,10,9,2,75
Molded Pulp,Medium,20,20,9,2,88
Bamboo Packaging,High,30,35,10,3,70
Bagasse Fiber,Medium,18,22,9,3,72
PLA Bioplastic,Medium,15,25,7,5,65
Starch Based Plastic,Low,10,20,8,4,60
Cellulose Film,Low,8,18,8,3,68
HDPE Plastic,High,35,28,4,7,60
LDPE Plastic,Medium,20,22,3,8,55
PET Plastic,High,30,30,3,7,65
Recycled PET,High,30,27,4,6,70
Glass Packaging,High,40,35,6,6,90
Recycled Glass,High,42,32,7,5,95
Aluminum Packaging,High,45,45,5,7,95
Recycled Aluminum,High,48,42,6,6,98
Steel Packaging,High,50,50,4,8,92
Tinplate Steel,High,48,48,4,8,90
Wooden Crates,High,60,55,7,4,65
Recycled Wood,High,55,50,8,3,70
Jute Packaging,Medium,20,18,10,2,60
Cotton Fiber Packaging,Medium,18,20,9,3,55
Palm Leaf Packaging,Low,12,15,10,2,50
Mycelium Packaging,Medium,22,30,10,2,40
Seaweed Packaging,Low,10,28,10,2,45
Foam Plastic,Low,8,12,1,9,20
EPS Foam,Low,6,10,1,9,15
Composite Packaging,High,35,40,2,8,30
Paper Cushioning,Low,7,9,9,2,75
Recycled Paper Cushioning,Low,8,8,9,2,80
Honeycomb Paperboard,High,32,26,9,3,85
Biodegradable Foam,Low,9,16,9,2,50
Cornstarch Packaging,Low,11,17,10,2,55
Hemp Fiber Packaging,Medium,22,24,9,3,65
Recycled Cotton Fiber,Medium,20,23,9,3,60
Palm Fiber Packaging,Medium,19,21,9,2,58
Wood Fiber Packaging,High,33,29,8,3,70
Recycled Wood Fiber,High,31,27,8,3,75
Natural Rubber Packaging,Medium,18,26,7,4,50
Recycled Rubber Packaging,Medium,19,25,7,4,55
Flexible Paper Packaging,Low,10,14,9,2,72
Recycled Flexible Paper,Low,11,13,9,2,75
Thermoformed Paper,Medium,21,19,8,3,78
Recycled Thermoformed Paper,Medium,22,18,8,3,80
Bioplastic Film,Low,9,19,8,4,60
Recycled Bioplastic Film,Low,10,18,8,4,62
Compressed Straw Board,High,34,28,9,3,68
Compressed Wheat Board,High,36,30,9,3,70
Recycled Straw Board,High,33,27,9,3,72
Natural Fiber Composite,High,37,32,8,4,65
Recycled Fiber Composite,High,38,31,8,4,68
Cardboard Tube Packaging,Medium,24,16,8,3,82
Recycled Cardboard Tubes,Medium,25,15,9,3,85
Eco Paper Bags,Low,8,6,10,2,80
Recycled Eco Paper Bags,Low,9,6,10,2,85
Banana Fiber Packaging,Medium,23,26,10,2,60
Recycled Banana Fiber,Medium,24,25,10,2,65
